제목,링크주소
"한은 총재 ""인하 시점 실기했는지 1년 정도 지나고 평가해달라""",https://v.daum.net/v/20241011113704909
1인분에 4000원이 안된다고?…규동 가격 일제히 내린 까닭,https://v.daum.net/v/20241011113502763
“아버지와 마지막 대화가 소리 지르고 화낸 것”...임종 못지킨 송윤아의 애타는 ‘사부곡’,https://v.daum.net/v/20241011113000465
"""사우디 석유시설 안전 보장 못한다"" 이란의 압박",https://v.daum.net/v/20241011112919439
"""10년 버티면 상속세 0원""…초대형 베이커리카페의 비밀",https://v.daum.net/v/20241011102207428
"최수진 의원 ""과학기술계, 남성 육아휴직자 1% 불과""",https://v.daum.net/v/20241011105605873
"공개매수 물량 늘린 고려아연…""유통물량 전부 매수 가능""",https://v.daum.net/v/20241011110225164
"이주호 ""내년 의대생 미복귀시 유급·제적‥휴학 제한 학칙 마련해달라""",https://v.daum.net/v/20241011112818398
"적자 홈플러스, 가맹점 짜는 bhc, MBK파트너스가 남긴 흔적",https://v.daum.net/v/20241011111741866
뉴욕타임스 ‘트럼프 비판’ 한강 기고에 조선일보가 보인 반응,https://v.daum.net/v/20241011112513230
[영상] 필명 ‘한강현’에서 ‘한강의 기적’까지…역사적 순간 모아보니,https://v.daum.net/v/20241011112602270
"다단계 피해자, 조선일보에 '1원 손해배상' 소송 나섰다",https://v.daum.net/v/20241011110003029
영국 팔레스타인 지지자들 스페인 화가 피카소를 왜 노렸을까,https://v.daum.net/v/20241011111805885
이재명 “유권자 실어 나르기 감시해달라”,https://v.daum.net/v/20241011112308111
대구 아파트값 47주 연속 하락···전국에서 하락 폭 가장 커,https://v.daum.net/v/20241011102611557
"조류 인플루엔자 '주의'→'심각'···경북, 차단 방역 나서",https://v.daum.net/v/20241011102207429
"""홍준표 대구시장 위법·부당 행위""···시민단체, 홍 시장에 대한 국정감사 촉구",https://v.daum.net/v/20241011104656473
"""수혈까지 받으며 촬영""…한강 원작 영화 '채식주의자'·'흉터' 재조명",https://v.daum.net/v/20241011110402252
"[뉴스+] ③ ""대구·경북 통합이 해결책일까? 근본 원인으로 거슬러 올라가면···""",https://v.daum.net/v/20241011111106552
"오세훈도 주목한 '튀김로봇'…로보아르테, SLW 참가",https://v.daum.net/v/20241011111747871
